rr,il,ol,request_throughput,mean_ttft_ms,mean_tpot_ms,mean_e2e_latency_ms,input_throughput,output_throughput,completed
1,256,128,0.9962597736030645,43.19471569484449,11.424467491776392,751.4689491599711,126.70929930570577,62.74942184038902,200
1,256,512,0.9801482811720806,53.3848864249012,11.75320683232451,2951.445262524976,124.66015914087107,242.3955706752614,200
1,1024,128,0.9962278692372626,70.93899095496454,11.500227702037453,783.9335383201251,513.0822583539211,62.747412343908984,200
1,1024,512,0.9800196529299638,80.54976082039502,11.935545337316649,3024.266062650495,504.73462175025463,242.36376026784473,200
1,2048,128,0.9961538628953562,107.45801939981902,11.59023907520684,827.1436113201344,1084.2786143763938,62.74275105446401,200
1,2048,512,0.9794471585507898,117.9784670547815,12.210054325532495,3128.7312003248735,1066.0939514319855,242.22217954540307,200
2,256,128,1.9828926173224186,47.77950645009696,11.540647491812969,762.8302609049933,252.1941975341518,124.89249150205254,200
2,256,512,1.9073403828581317,55.22289691518381,12.10112904107779,3040.172015025346,242.58508659381147,471.6948133827302,200
2,1024,128,1.9827049180962992,78.15336126972397,11.646434500051994,799.5907532196725,1021.1426004425465,124.88066926629541,200
2,1024,512,1.9061450812221252,83.83318832537043,12.429761704566872,3150.8509019051417,981.7123704564251,471.3992093116377,200
2,2048,128,1.9825157836567027,118.9999037945745,11.768402274542844,850.1727242447669,2157.899042457893,124.86875663361742,200
2,2048,512,1.9032919928996264,124.4691348298511,12.913751764224157,3311.3317245699727,2071.666719051492,470.69362630404214,200
4,256,128,3.926187892743578,52.05051132998051,11.761264670357608,780.5710801199893,499.35220713859195,247.29094442445424,200
4,256,512,3.614184521466487,58.71045103540382,12.901856496603111,3241.947020170228,459.67005836271517,893.8059030812697,200
4,1024,128,3.925869773733812,83.04819914996187,11.92837602386377,822.5866651702017,2021.9210802172565,247.27090769862417,200
4,1024,512,3.6067004536027705,89.32339672501257,13.613383062415885,3451.4759228000185,1857.540901116767,891.9550556782332,200
4,2048,128,3.9261323601651537,135.60031200526282,12.181047082954246,892.14665415544,4273.457659407164,247.2874467050022,200
4,2048,512,3.5874191507192665,141.16956509016745,14.747058750585051,3787.46272194021,3904.7801858876464,887.1866930686282,200
8,256,128,7.69817563586474,54.42580067530798,12.130778999784829,806.2782515454455,979.0924682474571,484.86959242494066,200
8,256,512,6.46074723437999,66.14037810999434,14.915427130422776,3744.194529514898,821.710137004619,1597.7750947983434,200
8,1024,128,7.690457260329868,93.98324480520387,12.452870523297518,865.9425140651365,3960.7777505013905,484.38345054187675,200
8,1024,512,6.395721130556196,104.2784640998434,16.408900004909253,4148.801947969951,3293.956275264705,1581.6938141921999,200
8,2048,128,7.673904422494479,167.22913343539403,12.89289038620082,968.4340775499732,8352.776377230453,483.3408700508148,200
8,2048,512,6.274364114662622,187.84580009032652,19.159778318838214,4905.816851555173,6829.4257360662505,1551.6816173766397,200
12,256,128,11.302238535107708,56.84058546990855,12.353045721561895,821.5544661849344,1437.475208087674,711.871494133759,200
12,256,512,8.696234674178022,71.76964796013635,16.014889751044596,4015.7875202549258,1106.0306070353317,2150.622316097596,200
12,1024,128,11.284003505102678,105.94090981998306,12.865644003945594,903.7363786047717,5811.543905215506,710.7229607688921,200
12,1024,512,8.498371324506635,122.64960950000386,18.25009549310752,4616.77394270504,4376.873691404029,2101.6897204071133,200
12,2048,128,11.222311352733263,234.53349847990467,13.504900285748198,1074.3822253098915,12215.09312655281,706.8372805519045,200
12,2048,512,8.107651437627355,257.10676662496553,22.512487676637793,5801.731818564913,8824.89482205706,2005.0627387824331,200
