idx,input_len,output_len,request_rate,ttft_ms,http_tokenize_ms,queue_ms,prefill_launch_delay_ms,prefill_compute_ms,first_decode_est_ms,sse_serialize_send_ms,success,error
0,1024,128,4,28.042352991178632,2.4347305297851562,0.9767949813976884,0.916232995223254,14.401585038285702,9.112499421462417,0.20051002502441406,True,
1,1024,128,4,37.762637017294765,1.6007423400878906,1.1726639932021499,1.0004849755205214,17.86419900599867,16.01916569052264,0.10538101196289062,True,
2,1024,128,4,69.27448202623054,4.611968994140625,0.36994199035689235,0.553641002625227,14.439110993407667,49.142224364914,0.1575946807861328,True,
3,1024,128,4,48.63977595232427,2.7267932891845703,0.37938496097922325,0.389574037399143,13.251233962364495,31.74353967187926,0.14925003051757812,True,
4,1024,128,4,34.77411699714139,1.6460418701171875,0.3750039613805711,0.3992210258729756,11.52486598584801,20.687125099357218,0.1418590545654297,True,
5,1024,128,4,48.80957002751529,1.5523433685302734,0.38630602648481727,0.399805954657495,11.71063503716141,34.6081301686354,0.15234947204589844,True,
6,1024,128,4,62.719724024645984,5.4149627685546875,0.37243898259475827,0.41177100501954556,13.293528987560421,43.0787259247154,0.14829635620117188,True,
7,1024,128,4,28.362846991512924,0.8695125579833984,0.4528420395217836,0.4654669901356101,11.334720009472221,15.100592107046396,0.13971328735351562,True,
8,1024,128,4,54.89433405455202,4.731178283691406,0.6771599873900414,0.40645396802574396,13.13094503711909,35.70397931616753,0.24461746215820312,True,
9,1024,128,4,46.16282397182658,1.7833709716796875,0.3366459859535098,0.35303900949656963,11.293497984297574,32.17263339320198,0.22363662719726562,True,
10,1024,128,4,54.26351504866034,4.505157470703125,0.3226979752071202,0.38237101398408413,13.023223960772157,35.88915924774483,0.14090538024902344,True,
11,1024,128,4,32.0433170418255,2.4809837341308594,0.9021119913086295,0.3913500113412738,11.322922015096992,16.8012292124331,0.14472007751464844,True,
12,1024,128,4,45.555441989563406,1.9385814666748047,0.31252799089998007,0.3797760000452399,13.100671989377588,29.656753118615597,0.1671314239501953,True,
13,1024,128,4,44.04212103690952,5.699634552001953,0.33781700767576694,0.40994398295879364,13.145370001439005,24.303681741002947,0.1456737518310547,True,
14,1024,128,4,35.3985860128887,1.3489723205566406,0.34481502370908856,0.3651930019259453,11.31538295885548,21.881886816117913,0.1423358917236328,True,
15,1024,128,4,51.324308034963906,4.183530807495117,0.5221169558353722,0.4061070503666997,13.175972970202565,32.88733022054657,0.14925003051757812,True,
16,1024,128,4,34.80694897007197,1.569986343383789,0.36250799894332886,0.36682799691334367,11.467770964372903,20.876300521194935,0.16355514526367188,True,
17,1024,128,4,71.50986598571762,2.2385120391845703,0.35630998900160193,0.40836300468072295,14.266195998061448,54.09671855159104,0.1437664031982422,True,
18,1024,128,4,59.7238460322842,5.630016326904297,0.34221902024000883,0.4021520144306123,13.174832973163575,40.02370673697442,0.15091896057128906,True,
19,1024,128,4,39.44211802445352,1.6138553619384766,0.369576970115304,0.4010479897260666,11.522505024913698,25.396373064722866,0.13875961303710938,True,
20,1024,128,4,64.81830903794616,5.644321441650391,0.3721329849213362,0.4137780051678419,13.330710004083812,44.905017130076885,0.15234947204589844,True,
21,1024,128,4,48.31998603185639,3.0994415283203125,0.3297440125606954,0.3922120085917413,13.539984996896237,30.778597458265722,0.1800060272216797,True,
22,1024,128,4,59.92128199432045,1.8918514251708984,0.3739199601113796,0.4459909978322685,13.305138039868325,43.72866707853973,0.17571449279785156,True,
23,1024,128,4,46.38137202709913,3.6745071411132812,0.3613780136220157,0.3981750342063606,13.419411960057914,28.372450964525342,0.15544891357421875,True,
24,1024,128,4,48.07468503713608,4.131078720092773,0.34976203460246325,0.4111279849894345,13.308720022905618,29.735951917245984,0.1380443572998047,True,
25,1024,128,4,48.79740398610011,3.4973621368408203,0.3576279850676656,0.40001003071665764,13.353731017559767,31.043475901242346,0.14519691467285156,True,
26,1024,128,4,71.83620100840926,4.682779312133789,0.33198995515704155,0.4208410391584039,12.87788397166878,53.460002643987536,0.06270408630371094,True,
27,1024,128,4,45.168201031628996,3.4177303314208984,0.42265700176358223,0.4081479855813086,13.548741990234703,27.28938456857577,0.08153915405273438,True,
28,1024,128,4,29.287668003235012,2.3365020751953125,0.39865198777988553,0.3833390073850751,11.761289031710476,14.260066382121295,0.14781951904296875,True,
29,1024,128,4,65.88793703122064,5.402803421020508,0.38271304219961166,0.5407480057328939,14.046556956600398,45.37993227131665,0.13518333435058594,True,
30,1024,128,4,47.37073398428038,2.288341522216797,0.34243601839989424,0.3950009704567492,13.569353031925857,30.634458642452955,0.141143798828125,True,
31,1024,128,4,37.9667779779993,1.222848892211914,0.40995603194460273,0.389567983802408,11.86604896793142,23.991571739315987,0.08678436279296875,True,
32,1024,128,4,41.030192049220204,3.7865638732910156,0.4923290107399225,0.5099810077808797,14.509394997730851,21.59530931385234,0.1366138458251953,True,
33,1024,128,4,46.110902971122414,3.147602081298828,0.35364902578294277,0.418270006775856,13.522856985218823,28.42390740988776,0.24461746215820312,True,
34,1024,128,4,35.526615974958986,0.8380413055419922,0.3719520173035562,0.3729339805431664,11.634488997515291,22.163287503644824,0.14591217041015625,True,
35,1024,128,4,33.8799330056645,1.9135475158691406,0.3894669935107231,0.3748239832930267,11.595304007641971,19.466123543679714,0.14066696166992188,True,
36,1024,128,4,63.06265399325639,5.414485931396484,0.40009600343182683,0.4881109925918281,13.461263035424054,43.15922316163778,0.13947486877441406,True,
37,1024,128,4,73.46140901790932,8.046150207519531,0.39557297714054585,0.5024650017730892,13.40052904561162,50.95790501218289,0.15878677368164062,True,
38,1024,128,4,62.10286798886955,4.57000732421875,0.4261430003680289,0.45786501141265035,13.343150028958917,43.092556414194405,0.21314620971679688,True,
39,1024,128,4,41.195496974978596,3.3893585205078125,0.4177750088274479,0.3963899798691273,13.313918025232852,23.52308336412534,0.15497207641601562,True,
40,1024,128,4,28.026390995364636,0.8730888366699219,0.4610990290530026,0.37716299993917346,11.493786005303264,14.67867981409654,0.14257431030273438,True,
41,1024,128,4,50.35128997405991,3.275632858276367,0.4175769863650203,0.4041560459882021,13.614134979434311,32.48290967894718,0.15687942504882812,True,
42,1024,128,4,55.84462103433907,5.8269500732421875,0.36067102337256074,0.42983394814655185,13.982033997308463,35.08992149727419,0.1552104949951172,True,
43,1024,128,4,72.10816297447309,8.014202117919922,0.4069489659741521,0.5365739925764501,13.485104020219296,49.524428497534245,0.14090538024902344,True,
44,1024,128,4,42.30234702117741,4.21452522277832,0.646308995783329,0.42560399742797017,13.655219983775169,23.208339349366724,0.15234947204589844,True,
45,1024,128,4,64.67310700099915,4.278898239135742,0.364425010047853,0.40037999860942364,13.314424024429172,46.1831342545338,0.13184547424316406,True,
46,1024,128,4,73.34555400302634,6.947994232177734,0.3561300109140575,0.4572999896481633,13.473210972733796,51.96524504572153,0.1456737518310547,True,
47,1024,128,4,72.09867401979864,4.979610443115234,0.3586970269680023,0.4328200011514127,13.545550988055766,52.72501352010295,0.05698204040527344,True,
48,1024,128,4,41.59945994615555,2.0868778228759766,0.372201029676944,0.3913659602403641,11.693595035467297,26.916183647699654,0.1392364501953125,True,
49,1024,128,4,56.59638700308278,6.881237030029297,0.6955610006116331,0.4701439756900072,13.61602102406323,34.71121785696596,0.22220611572265625,True,
50,1024,128,4,56.84205098077655,3.7708282470703125,0.35386899253353477,0.4278779961168766,13.577763980720192,38.579151034355164,0.13256072998046875,True,
51,1024,128,4,62.92047101305798,4.057407379150391,0.35056303022429347,0.42372295865789056,13.34156800294295,44.61226472631097,0.13494491577148438,True,
52,1024,128,4,50.94435397768393,1.5697479248046875,0.439937983173877,0.4028909606859088,13.121037045493722,35.2679273346439,0.14281272888183594,True,
