rr,il,ol,completed,request_throughput,mean_e2e_latency_ms,mean_tpot_ms,mean_ttft_ms,prefix_cache_reused_ratio,mean_kv_transfer_ms,mean_decode_queue_ms,mean_queue_ms
1,256,128,200,0.9368890582562073,734.3269930233199,11.54097901770599,19.644142912809706,0.016608425929561427,0.0,0.0,-5e-06
1,256,512,200,0.9203775260793225,2965.7173180774234,11.932966087228817,22.408446180282105,0.016608425929561427,0.0,0.0,-5e-06
1,1024,128,200,0.9369055943036368,770.5239232533629,11.860105361498915,37.0805140186895,0.006816725252956827,0.0,0.0,-5e-06
1,1024,512,200,0.9202376864727292,3063.7689744180443,12.260536001128951,39.88685087419956,0.006816725252956827,0.0,0.0,-5e-06
1,2048,128,200,0.9368792600219502,822.0219534067616,12.33045635570366,62.911678102969795,0.007923682905778872,0.0,0.0,-5e-06
1,2048,512,200,0.9196197934725887,3213.9990560353713,12.769745387935913,65.79636460181631,0.007923682905778872,0.0,0.0,-5e-06
2,256,128,200,1.8663501406798264,757.4573731897002,11.887724831483448,21.387831872760515,0.016608425929561427,0.0,0.0,-5e-06
2,256,512,200,1.7946632903932356,3096.1500726054023,12.468967039203328,22.9846167820722,0.016608425929561427,0.0,0.0,-5e-06
2,1024,128,200,1.866247936629014,811.1144253644571,12.454291002661655,39.6694715121368,0.006816725252956827,0.0,0.0,-5e-06
2,1024,512,200,1.7939632740432931,3266.820961322826,13.099230106786033,41.015288515257424,0.006816725252956827,0.0,0.0,-5e-06
2,2048,128,200,1.8661927531232156,895.7467784157199,13.49121001117003,67.22393727584654,0.007923682905778872,0.0,0.0,-5e-06
2,2048,512,200,1.7912069638760022,3571.7402318823656,14.283854611744546,68.34618888661855,0.007923682905778872,0.0,0.0,-5e-06
4,256,128,200,3.703571943172726,796.2409577891968,12.477354653031536,22.91787308203594,0.016608425929561427,0.0,0.0,-5e-06
4,256,512,200,3.41363993360791,3293.0735712649002,13.261912632262625,23.31638781192458,0.016608425929561427,0.0,0.0,-5e-06
4,1024,128,200,3.7026578281109477,883.6243806791981,13.659533328554305,41.730678859377036,0.006816725252956827,0.0,0.0,-5e-06
4,1024,512,200,3.4084333983463577,3661.018945629334,14.672476843226296,42.53772095170601,0.006816725252956827,0.0,0.0,-5e-06
4,2048,128,200,3.702162959460713,1046.2016802465562,15.907597250663253,72.89298249223731,0.007923682905778872,0.0,0.0,-5e-06
4,2048,512,200,3.3935797908650973,4417.437471180001,17.692139720434582,74.29104292248435,0.007923682905778872,0.0,0.0,-5e-06
8,256,128,200,7.278518336363477,877.0774183941653,13.768648128046832,23.446211451592507,0.016608425929561427,0.0,0.0,-5e-06
8,256,512,200,6.204066150251424,3672.732837429171,14.822168811616274,24.050569877650645,0.016608425929561427,0.0,0.0,-5e-06
8,1024,128,200,7.270955395863193,1065.7158531544478,16.70400554158171,45.09771140333398,0.006816725252956827,0.0,0.0,-5e-06
8,1024,512,200,6.1412586033766905,4875.393762528644,19.61980267621934,46.24809416969664,0.006816725252956827,0.0,0.0,-5e-06
8,2048,128,200,7.222081650297124,1491.8784864915328,23.594000151709334,87.00470774231819,0.007923682905778872,0.0,0.0,-5e-06
8,2048,512,200,5.8657250493323,8354.805629650537,34.61599539417547,89.98718031702235,0.007923682905778872,0.0,0.0,-5e-06
12,256,128,200,10.65876965089586,953.8001068470363,15.014178692036303,24.40256889220424,0.016608425929561427,0.0,0.0,-5e-06
12,256,512,200,8.464504318732814,4222.991704710766,17.08598221277446,24.955480720033396,0.016608425929561427,0.0,0.0,-5e-06
12,1024,128,200,10.567711039576459,1280.0031440771158,20.118300074865225,48.58182376687056,0.006816725252956827,0.0,0.0,-5e-06
12,1024,512,200,8.132479812063323,6349.392006938959,26.048739808429307,50.432122937706104,0.006816725252956827,0.0,0.0,-5e-06
12,2048,128,200,10.387898382386842,2505.176599853624,41.518378807749464,120.59482703894543,0.007923682905778872,0.0,0.0,-5e-06
12,2048,512,200,7.081685029381979,11044.075990929983,48.94582286987761,123.728111826136,0.007923682905778872,0.0,0.0,-5e-06
