source,request_rate,input_len,output_len,completed,mean_ttft_ms,median_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,mean_itl_ms,mean_e2e_latency_ms,request_throughput,output_throughput
SGLang_Run2,12,1024,128,200,39.213684354908764,39.12834747461602,51.01307166449258,13.082118948835854,13.136164999320625,13.094272975215018,898.2269628878566,10.804406400808048,719.7355323898281
SGLang_Run2,12,1024,512,200,43.822134212823585,43.63936651498079,56.96362349204718,16.248517067197735,16.5763091962729,16.25641847719449,4282.70922321215,8.687995582418166,2274.647563410812
SGLang_Run2,12,2048,128,200,44.99246298277285,44.981563987676054,60.16715009114705,13.624047493968485,13.705356818070044,13.635733147826958,939.4583874111413,10.769405422243047,717.4039422027206
SGLang_Run2,12,2048,512,200,51.29345172928879,51.47612901055254,69.73211530188564,17.91550747799581,18.279359756007338,17.97074918586877,4737.103028099227,8.469349207762885,2217.40266283044
SGLang_Run2,12,256,128,200,34.97449904534733,34.99607200501487,41.94754740805364,12.697307557867006,12.732194899583764,12.69378246749463,867.6534219441237,10.645693605564432,709.1628795346746
SGLang_Run2,12,256,512,200,39.32331497751875,38.50836801575497,53.613392032566324,15.016253547538843,15.365621456377532,15.001093173201559,3950.660329864477,8.865907149755182,2321.227480413153
SGLang_Run2,1,1024,128,200,41.7916711824364,40.51257547689602,70.79672092513646,11.440912162650848,11.399323000851405,11.45354408150391,793.1784990473534,1.0053657681540098,66.97244064557937
SGLang_Run2,1,1024,512,200,34.96274656296009,35.85791599471122,47.58634993224403,11.69540148420988,11.709066889583525,11.699519201390775,3085.6466706696665,1.0035552654683713,262.7458218286016
SGLang_Run2,1,2048,128,200,52.559761053707916,45.87360902223736,95.40785607008725,11.685124214080464,11.684003973184607,11.705699215294333,820.4302874894347,1.00557191912392,66.98617339243994
SGLang_Run2,1,2048,512,200,40.244998380949255,40.81226250855252,56.1717686022166,11.978356873884058,11.982848709045776,11.98033082801586,3164.13087312103,1.0031798014677011,262.6475197212662
SGLang_Run2,1,256,128,200,35.07351751497481,26.900609518634155,96.19671495456703,11.280192310781478,11.199873881456108,11.287753804806293,775.5276567809051,1.0036704441675492,66.8595066382213
SGLang_Run2,1,256,512,200,31.851859649177637,32.85612247418612,43.2743487349944,11.490381862688935,11.499227058333354,11.496447068325141,3029.5288073120173,1.0036125613679971,262.7608227545622
SGLang_Run2,2,1024,128,200,43.77132857742254,42.79233398847282,72.07495020586063,11.628699670824032,11.53086626516864,11.671585918773461,809.461061739712,2.0027859733451683,133.4155876143884
