rr,il,ol,request_throughput,mean_ttft_ms,mean_tpot_ms,mean_e2e_latency_ms,output_throughput,completed
1,256,128,1.0090049286317235,30.96200959291309,11.418212066733812,780.6574822263792,67.21486332080227,200
2,256,128,2.0167992952394194,30.833990718238056,11.531943040344819,788.9825486345217,134.34908505237394,200
4,256,128,3.974031067646523,36.68119216803461,11.868305889461618,815.5079238722101,264.73007957127317,200
8,256,128,7.715635730239556,40.46136314980686,12.561441803908,864.2684944998473,513.9770741699081,200
12,256,128,11.229321654201323,40.72881544474512,13.214793379727425,909.8114072624594,748.0412619946212,200
1,1024,128,1.0089632292694757,47.58976027369499,11.506411881195865,802.9611979890615,67.21208551778612,200
2,1024,128,2.0168544422819408,51.40786453150213,11.72589930419586,822.7455534087494,134.3527586726115,200
4,1024,128,3.9711815082903668,57.25853898562491,12.358601200075125,866.1683455295861,264.54025617476276,200
8,1024,128,7.706061137719859,60.50701525993645,13.656924364160714,958.7820731801912,513.3392626892083,200
12,1024,128,11.217579271105267,63.08768501039594,15.348238191446844,1064.5441834861413,747.2590431446773,200
1,2048,128,1.0089508471599553,71.69657402206212,11.613481373564275,834.8905526008457,67.21126068356043,200
2,2048,128,2.0154429395135853,75.94484935048968,12.086622596577214,868.234353736043,134.25873141569747,200
4,2048,128,3.9669849137321656,84.16245215106755,13.032942440013214,942.3285445850343,264.2607000282682,200
8,2048,128,7.683572502416428,88.58188768383116,15.57573792391244,1110.8326505450532,511.8411822484704,200
12,2048,128,11.147688690306527,95.71544824168086,18.77029308560711,1323.9680248731747,742.6032821047694,200
1,256,512,1.007127113477143,37.629444929771125,11.59233929118077,3060.646119080484,263.68098521501815,200
2,256,512,1.9936652096867455,40.47652253881097,11.940617437053902,3153.0088794464245,521.9714568741352,200
4,256,512,3.8126576712573526,41.588639141991735,12.557711218720513,3317.83839576412,998.2109682002438,200
8,256,512,6.837430399522808,43.8613443588838,14.019713137802032,3705.866703093052,1790.141840051064,200
12,256,512,9.106679372082448,46.417195750400424,15.647779460769305,4123.51197199896,2384.265259801766,200
1,1024,512,1.0069359979014765,57.34378388617188,11.748027467084734,3123.2241372484714,263.6309482905751,200
2,1024,512,1.9925138191777434,60.591157115995884,12.28471988820485,3265.8825311623514,521.6700055680209,200
4,1024,512,3.798522793652123,61.97552132885903,13.310544973989868,3538.5749275423586,994.5102452200306,200
8,1024,512,6.736366127021552,66.89179111737758,16.16206147727354,4282.026287200861,1763.6816975461477,200
12,1024,512,8.811354340167338,70.70133762899786,18.935532569705877,4981.076449695975,2306.9447365709116,200
1,2048,512,1.006601943693843,81.58696753438562,11.973827752410264,3210.615120041184,263.5434878882035,200
2,2048,512,1.9912417181775446,86.10076828859746,12.801015861080023,3426.2233838858083,521.3369504446538,200
4,2048,512,3.786363648455408,89.49374608229846,14.427633633795196,3855.8403447223827,991.3267986203526,200
8,2048,512,6.6132687830977925,96.27144990023226,19.28726688656536,5131.960606039502,1731.4529664467486,200
12,2048,512,8.439299743767382,105.72615324519575,24.240123039029182,6342.22109392751,2209.535262414457,200
