OL,IL,Req/s PD,Req/s NonPD-DP2,Req/s NonPD-TP2,TTFT PD(ms),TTFT NonPD-DP2(ms),TTFT NonPD-TP2(ms),TPOT PD(ms),TPOT NonPD-DP2(ms),TPOT NonPD-TP2(ms),E2E PD(ms),E2E NonPD-DP2(ms),E2E NonPD-TP2(ms)
128,256,11.212415973501829,11.229321654201323,10.7116543899766,58.75857373699546,40.72881544474512,58.99870064575225,12.513117062850831,13.214793379727425,24.709148534281677,874.8883791454136,909.8114072624594,1670.5570215638727
128,1024,11.170353171197169,11.217579271105267,10.652413237749657,103.77249617595226,63.08768501039594,108.12680194620043,12.963854054591922,15.348238191446844,35.05366603759327,951.5982697345316,1064.5441834861413,2368.48412937019
128,2048,11.135364239512109,11.147688690306527,10.575054745037711,223.2543583353981,95.71544824168086,287.56140030920506,13.872743286464493,18.77029308560711,79.74815975718056,1124.4286964461207,1323.9680248731747,4444.129123305902
512,256,8.850987426785725,9.106679372082448,8.06959806815903,73.93926416523755,46.417195750400424,61.780074541457,16.124737423864957,15.647779460769305,23.973192099034712,4297.978409719653,4123.51197199896,6144.713713531382
512,1024,8.588700086260854,8.811354340167338,7.843495145734797,118.96674252580851,70.70133762899786,111.29537108819932,18.090918624908657,18.935532569705877,31.90294955768313,4868.711865697987,4981.076449695975,8070.427205641755
512,2048,8.150524349102323,8.439299743767382,7.2650558996255565,250.06902955472472,105.72615324519575,287.38591882865876,21.24603250772629,24.240123039029182,61.7769605137302,5819.430904863402,6342.22109392751,12205.10836517904
