source,request_rate,input_len,output_len,completed,mean_ttft_ms,median_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,mean_itl_ms,mean_e2e_latency_ms,request_throughput,output_throughput
SGLang,12,1024,128,200,61.27302107430296,60.18639600370079,103.155476123793,15.138730513875604,14.899430696800872,15.13977930438758,1054.4740039511817,11.212221139853028,746.9021112313095
SGLang,12,1024,512,200,68.71453712607035,68.97316500544548,118.33478686225133,18.808819604734047,19.130959467249017,18.739633609701265,4955.101537790615,8.831308935172556,2312.1691488622027
SGLang,12,2048,128,200,95.92269804299576,91.6984919749666,189.42495237104592,18.626222864177677,18.064404529359887,18.718372730347852,1323.784011437674,11.128948190487456,741.3548837093219
SGLang,12,2048,512,200,104.67710145516321,102.18856250867248,194.52420107787466,24.313940205550995,24.29848611707469,24.030247866699334,6370.473265151377,8.422612823962345,2205.166376505701
SGLang,12,256,128,200,39.638568067748565,39.90453001460992,52.33548542833886,13.058303890394937,13.121590012237712,13.074074032740874,897.2611319235875,11.237431857372156,748.5815231788462
SGLang,12,256,512,200,46.197724456724245,45.8432569867,68.6356230539968,15.50188098431125,15.765610175804294,15.47182701798987,4080.4274182475638,9.116794832055705,2386.9136389546643
SGLang,1,1024,128,200,48.12293929804582,47.288454516092315,79.70515419612634,11.464095043386147,11.394445561420516,11.47728131004331,801.0710177352303,1.0089885689045495,67.21377351757656
SGLang,1,1024,512,200,55.286300809530076,55.32381450757384,86.8582888750825,11.787462667348047,11.767282250616761,11.802612365089974,3132.848635579576,1.0069066933926019,263.62327593058404
SGLang,1,2048,128,200,72.15655638923636,69.93198450072668,126.39427137386517,11.743014101850445,11.713194344857973,11.763062909875105,843.7908295050147,1.0089644721610003,67.21216831300504
SGLang,1,2048,512,200,81.81870675238315,80.2482960280031,133.707532332628,12.16440939678066,12.123592515817235,12.195657342846205,3261.809665998735,1.0062613005141576,263.4543023941142
SGLang,1,256,128,200,35.8302146429196,27.320894529111683,103.65867526037582,11.27882255357789,11.20694101837697,11.291928161724698,776.5570425082115,1.0088963304161933,67.20762905067471
SGLang,1,256,512,200,36.438318767468445,37.6884900033474,49.700887472135946,11.515454175916675,11.518172205559686,11.519865039195132,3040.221183937392,1.0072225825696532,263.70598045547376
SGLang,2,1024,128,200,50.79516326542944,52.759678510483354,80.78415458323433,11.69128035256364,11.569149711462622,11.734932172041182,820.6396496403613,2.016881763924006,134.35457870379767
SGLang,2,1024,512,200,59.63482744904468,60.79484548536129,91.15704587544313,12.324125441751757,12.276503156308648,12.33395912162782,3275.808768349816,1.9919996604462495,521.5353910997349
SGLang,2,2048,128,200,77.07770389446523,74.4433340150863,133.55064361647234,12.230635444324252,11.912992412356086,12.22794183224087,879.2029826829094,2.014331725100546,134.18470786757285
SGLang,2,2048,512,200,84.42195046227425,82.1274139743764,137.90615640755271,12.969987597700971,12.841766802092714,12.980264132296174,3469.05715910485,1.9899611927622944,521.0016896830601
SGLang,2,256,128,200,31.183040916803293,29.33121399837546,46.884438056149506,11.379463843758355,11.348398157932767,11.411757555505432,779.7709170650342,2.0166700917510574,134.34047816199669
SGLang,2,256,512,200,39.85239067405928,40.0175825052429,49.26598980266132,11.879355692669284,11.804955268336768,11.880077257389594,3137.437244875182,1.9937598318470109,521.9962303750251
SGLang,4,1024,128,200,55.60733022779459,55.4339284717571,87.48816327424716,12.350343182995323,12.178998431599354,12.321310563568593,863.9160406179144,3.9724549128620876,264.62508402030795
SGLang,4,1024,512,200,60.36680988210719,59.99173750751652,92.94108494999819,13.254872173034808,13.299782786463783,13.287704560160323,3525.16402371024,3.7972391615587546,994.1741710835053
SGLang,4,2048,128,200,82.06383388926042,81.92103999317624,154.10115287522777,13.23282881326916,12.89364166872531,13.252159863489375,951.3656691485085,3.964115621885616,264.0695621519103
SGLang,4,2048,512,200,88.16432504361728,84.24131598439999,163.52943911682812,14.437108048654776,14.384634518735758,14.480581808071337,3863.9319474148215,3.779555787776642,989.5443985767415
SGLang,4,256,128,200,35.59507458208827,36.39947599731386,47.74369533930439,11.728625161590301,11.631122654754385,11.729783370408637,805.0411207927391,3.97472129697557,264.7760591980276
SGLang,4,256,512,200,41.54022749746218,40.40934599470347,55.99386739660984,12.489875632907877,12.488922797918956,12.524093099930742,3307.1027733184746,3.813615151813162,998.4616509719631
SGLang,8,1024,128,200,58.0781628342811,56.7445479973685,85.85666101658698,13.625885579501077,13.460023372011014,13.645833959446641,953.2670199093991,7.711611463675245,513.7089976527265
SGLang,8,1024,512,200,62.532453272724524,62.688184494618326,97.553179526585,15.96516685286793,16.003341146213927,16.036559561493405,4244.090273177135,6.734209295392711,1763.1170066732427
SGLang,8,2048,128,200,89.36081761610694,85.71456201025285,178.89410911069717,15.566496379144954,15.090730099014369,15.72000704391512,1120.5446854574257,7.672191635775513,511.0830458171858
