rr,il,ol,hisim_noflush_req_thr,hisim_noflush_ttft,hisim_noflush_tpot,hisim_noflush_e2e,hisim_noflush_prefix_reuse,hisim_noflush_completed,hisim_flush_req_thr,hisim_flush_ttft,hisim_flush_tpot,hisim_flush_e2e,hisim_flush_prefix_reuse,hisim_flush_completed,hisim_0612full_req_thr,hisim_0612full_ttft,hisim_0612full_tpot,hisim_0612full_e2e,hisim_0612full_prefix_reuse,hisim_0612full_completed,sg_0610_req_thr,sg_0610_ttft,sg_0610_tpot,sg_0610_e2e,sg_0610_completed,sg_0612_req_thr,sg_0612_ttft,sg_0612_tpot,sg_0612_e2e,sg_0612_completed
1,256,128,0.9368901191594442,19.58443041953489,11.539004116774926,734.1477163891682,0.016608425929561427,200,0.9368890582562072,19.644142912809706,11.54097901770599,734.3269930233199,0.0166084259295614,200,0.9977547514449449,20.6001950552808,11.61346465334909,740.7879066432961,0.0,200,1.008973801969776,44.01110118255019,11.43686799358906,794.8083460703492,200,0.9962597736030644,43.19471569484449,11.424467491776392,751.4689491599711,200
1,256,512,0.9204359286826078,16.523661115989004,11.864671748931697,2943.1213508932515,0.992147316345361,200,0.9203775260793224,22.408446180282105,11.932966087228817,2965.7173180774234,0.0166084259295614,200,0.9810869401533536,23.488032053192217,12.033253754369072,2985.022302183387,0.0,200,1.0070648711542272,52.00249798595905,11.818458740036968,3130.753635172732,200,0.9801482811720806,53.3848864249012,11.75320683232451,2951.445262524976,200
1,1024,128,0.9369146739699088,29.70735869263417,11.777097758234444,758.3309901685236,0.2495678856499194,200,0.9369055943036368,37.0805140186895,11.860105361498915,770.5239232533629,0.0068167252529568,200,0.9977547514449449,39.33582056271289,12.045148917670684,784.3030233031877,0.0,200,1.0089551883032826,69.43360326811671,11.509326936193531,824.1304660029709,200,0.9962278692372626,70.93899095496454,11.500227702037453,783.9335383201251,200
1,1024,512,0.9203537252150756,16.064194526924087,11.978838725914509,2970.9203443199785,0.9980579130333457,200,0.9202376864727292,39.88685087419956,12.260536001128951,3063.7689744180443,0.0068167252529568,200,0.9809489011606146,42.17647948765484,12.44342321693298,3097.1118677640115,0.0,200,1.0068285876661196,80.66028781235218,11.970926512166397,3199.4916038261726,200,0.9800196529299638,80.54976082039502,11.935545337316649,3024.266062650495,200
1,2048,128,0.9369030584367152,39.49370705752786,12.017296497624791,780.9807090074992,0.4770598821088198,200,0.9368792600219502,62.9116781029698,12.33045635570366,822.0219534067616,0.0079236829057788,200,0.9977547514449449,68.55011682632323,12.612718139073657,847.9012884219492,0.0,200,1.0090292319607386,104.75177442654967,11.617434997467626,866.1217341339216,200,0.9961538628953562,107.45801939981902,11.59023907520684,827.1436113201344,200
1,2048,512,0.9199301632849912,16.48146498835777,12.149645245711598,3013.4553983357714,0.9990818443909874,200,0.9196197934725888,65.79636460181631,12.769745387935911,3213.9990560353717,0.0079236829057788,200,0.9802511296715202,72.10630829388248,13.055868949594986,3266.368765641041,0.0,200,1.0064774844472044,116.75857765134424,12.198437407551372,3295.8737840224057,200,0.9794471585507898,117.9784670547815,12.210054325532496,3128.731200324873,200
2,256,128,1.8665690518309697,15.496867949019451,11.746497465315516,743.3146806117768,0.992147316345361,200,1.8663501406798264,21.387831872760515,11.887724831483448,757.4573731897002,0.0166084259295614,200,1.9870873040239951,22.24094261887248,11.97344207801263,764.7317028604564,0.0,200,2.0164162881961354,47.90678947698325,11.57449496862922,805.6423518806696,200,1.9828926173224184,47.77950645009696,11.540647491812967,762.8302609049933,200
2,256,512,1.7948701803475324,17.24531189670727,12.33527145150034,3057.567560684413,0.992147316345361,200,1.7946632903932356,22.9846167820722,12.468967039203328,3096.1500726054023,0.0166084259295614,200,1.9103535455224216,23.17718168199499,12.590495077309733,3123.580854181025,0.0,200,1.9929861605391592,55.887113218195736,12.167360943663082,3226.0057188523933,200,1.907340382858132,55.22289691518381,12.10112904107779,3040.172015025346,200
2,1024,128,1.866471343874321,15.906768740081125,11.849905926409544,750.2703674166935,0.9980579130333457,200,1.866247936629014,39.6694715121368,12.454291002661655,811.1144253644571,0.0068167252529568,200,1.9869556374392212,43.12467315763168,12.645635143564371,826.320146397381,0.0,200,2.01587186009351,75.34421466290951,11.661014773019083,838.9196180179715,200,1.9827049180962992,78.15336126972397,11.646434500051994,799.5907532196725,200
2,1024,512,1.7943786356031264,17.22763251795511,12.493500715214934,3096.457603174504,0.9980579130333457,200,1.7939632740432931,41.015288515257424,13.099230106786033,3266.820961322826,0.0068167252529568,200,1.90932147133059,44.49956849862132,13.3337549063083,3324.968783571461,0.0,200,1.9918900279440843,83.89783240389079,12.451426713883745,3330.3102554380894,200,1.9061450812221248,83.83318832537043,12.429761704566872,3150.8509019051417,200
2,2048,128,1.866278862102018,16.176276971751715,11.98749082117234,758.8997399529973,0.9990818443909874,200,1.866192753123216,67.22393727584654,13.49121001117003,895.7467784157199,0.0079236829057788,200,1.986883960226797,75.75092210471854,13.675727005357878,918.885268911677,0.0,200,2.014233192835618,119.41737398505212,11.804899386717944,892.2186393011361,200,1.982515783656703,118.9999037945745,11.768402274542844,850.1727242447669,200
2,2048,512,1.792780187241999,17.266829939279873,12.80323437379286,3173.754236115011,0.9990818443909874,200,1.7912069638760022,68.34618888661855,14.283854611744546,3571.7402318823656,0.0079236829057788,200,1.906644390018948,77.07954203148181,14.680926966249348,3676.6050877801954,0.0,200,1.9900573412900728,125.35735161509363,12.902135568011008,3485.27715603821,200,1.9032919928996264,124.4691348298511,12.913751764224155,3311.3317245699727,200
4,256,128,3.703673415727687,16.629333398127834,12.20439455702252,773.0195217521128,0.992147316345361,200,3.703571943172726,22.91787308203594,12.477354653031536,796.2409577891968,0.0166084259295614,200,3.940988113400983,23.37051043923928,12.686999774858936,809.9704134163374,0.0,200,3.969706153865191,53.34873467218131,11.825581917207955,826.2372088944539,200,3.926187892743578,52.05051132998051,11.761264670357608,780.5710801199893,200
4,256,512,3.415054913293033,17.27516145139856,12.969421599040713,3214.530825910082,0.992147316345361,200,3.41363993360791,23.31638781192458,13.261912632262623,3293.0735712649,0.0166084259295614,200,3.624424162540671,23.93074809549385,13.428443622809084,3328.8229715922016,0.0,200,3.806593771710828,59.24236047547311,13.188797367449355,3502.958384859376,200,3.614184521466487,58.71045103540382,12.901856496603113,3241.947020170228,200
4,1024,128,3.703376586829578,17.02906003378793,12.308609239512236,780.2527852645582,0.9980579130333457,200,3.702657828110948,41.73067885937704,13.659533328554303,883.6243806791981,0.0068167252529568,200,3.940374140706688,46.80775916804598,14.013475406723916,915.3131408720028,0.0,200,3.968652581223211,82.92885060887784,11.977258200884537,865.7195749506354,200,3.925869773733812,83.04819914996187,11.92837602386377,822.5866651702017,200
4,1024,512,3.4105855206129894,17.71166269352805,13.329029300683722,3303.9461482773368,0.9980579130333457,200,3.4084333983463577,42.53772095170601,14.672476843226296,3661.018945629334,0.0068167252529568,200,3.617922512953073,47.54174641443216,15.135109302978526,3767.457268961312,0.0,200,3.793215004954975,90.09143728297204,13.901687145508014,3725.336024309509,200,3.6067004536027705,89.32339672501257,13.613383062415885,3451.4759228000185,200
