rr,il,ol,hisim_req_thr,hisim_ttft,hisim_tpot,hisim_e2e,hisim_prefix_reuse,hisim_completed,sg_yday_req_thr,sg_yday_ttft,sg_yday_tpot,sg_yday_e2e,sg_yday_completed,sg_today_req_thr,sg_today_ttft,sg_today_tpot,sg_today_e2e,sg_today_completed
1,256,128,0.9368890582562072,19.644142912809706,11.54097901770599,734.3269930233199,0.0166084259295614,200,1.008973801969776,44.01110118255019,11.43686799358906,794.8083460703492,200,0.9962597736030644,43.19471569484449,11.424467491776392,751.4689491599711,200
1,256,512,0.9203775260793224,22.408446180282105,11.932966087228817,2965.7173180774234,0.0166084259295614,200,1.0070648711542272,52.00249798595905,11.818458740036968,3130.753635172732,200,0.9801482811720806,53.3848864249012,11.75320683232451,2951.445262524976,200
1,1024,128,0.9369055943036368,37.0805140186895,11.860105361498915,770.5239232533629,0.0068167252529568,200,1.0089551883032826,69.43360326811671,11.509326936193531,824.1304660029709,200,0.9962278692372626,70.93899095496454,11.500227702037453,783.9335383201251,200
1,1024,512,0.9202376864727292,39.88685087419956,12.260536001128951,3063.7689744180443,0.0068167252529568,200,1.0068285876661196,80.66028781235218,11.970926512166397,3199.4916038261726,200,0.9800196529299638,80.54976082039502,11.935545337316649,3024.266062650495,200
1,2048,128,0.9368792600219502,62.9116781029698,12.33045635570366,822.0219534067616,0.0079236829057788,200,1.0090292319607386,104.75177442654967,11.617434997467626,866.1217341339216,200,0.9961538628953562,107.45801939981902,11.59023907520684,827.1436113201344,200
1,2048,512,0.9196197934725888,65.79636460181631,12.769745387935911,3213.9990560353717,0.0079236829057788,200,1.0064774844472044,116.75857765134424,12.198437407551372,3295.8737840224057,200,0.9794471585507898,117.9784670547815,12.210054325532496,3128.731200324873,200
2,256,128,1.8663501406798264,21.387831872760515,11.887724831483448,757.4573731897002,0.0166084259295614,200,2.0164162881961354,47.90678947698325,11.57449496862922,805.6423518806696,200,1.9828926173224184,47.77950645009696,11.540647491812967,762.8302609049933,200
2,256,512,1.7946632903932356,22.9846167820722,12.468967039203328,3096.1500726054023,0.0166084259295614,200,1.9929861605391592,55.887113218195736,12.167360943663082,3226.0057188523933,200,1.907340382858132,55.22289691518381,12.10112904107779,3040.172015025346,200
2,1024,128,1.866247936629014,39.6694715121368,12.454291002661655,811.1144253644571,0.0068167252529568,200,2.01587186009351,75.34421466290951,11.661014773019083,838.9196180179715,200,1.9827049180962992,78.15336126972397,11.646434500051994,799.5907532196725,200
2,1024,512,1.7939632740432931,41.015288515257424,13.099230106786033,3266.820961322826,0.0068167252529568,200,1.9918900279440843,83.89783240389079,12.451426713883745,3330.3102554380894,200,1.9061450812221248,83.83318832537043,12.429761704566872,3150.8509019051417,200
