framework,version,device,op_name,kernel_source,batch_size,isl,num_heads,num_key_value_heads,head_dim,beam_width,attn_dtype,kv_cache_dtype,step,latency
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,1,1,64,64,128,1,float16,fp8,1023,0.016539199650287627
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,1,1,64,64,128,1,float16,float16,2047,0.03087199926376343
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,1,1,64,64,128,1,float16,fp8,2047,0.022655999660491942
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,2,1,64,64,128,1,float16,float16,1,0.008446399867534638
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,2,1,64,64,128,1,float16,fp8,1,0.010388799756765366
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,2,1,64,64,128,1,float16,float16,3,0.008403199911117553
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,1,1,64,64,128,1,float16,fp8,15,0.010480000078678131
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,2,1,64,64,128,1,float16,float16,7,0.008374399691820144
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,2,1,64,64,128,1,float16,fp8,3,0.0104032002389431
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,2,1,64,64,128,1,float16,float16,15,0.009172800183296203
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,2,1,64,64,128,1,float16,fp8,15,0.01040000021457672
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,2,1,64,64,128,1,float16,float16,31,0.010332799702882766
