framework,version,device,op_name,kernel_source,bmm_dtype,num_tokens,num_heads,latency
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,1,4,0.006675200164318084
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,8,16,0.00827839970588684
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,8,8,0.007174400240182876
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,float16,8,4,0.004156799986958504
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,8,4,0.006723199784755707
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,float16,8,2,0.004236799851059914
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,8,2,0.008406399935483932
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,float16,8,1,0.004332799836993218
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,8,1,0.006489600241184235
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,float16,16,128,0.00859839990735054
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,float16,4,1,0.0035967998206615447
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,float16,16,64,0.006543999910354615
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,float16,2,64,0.006524799764156342
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,16,64,0.008659200370311737
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,16,32,0.008585599809885025
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,float16,16,16,0.0044895999133586885
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,16,16,0.008419200032949447
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,1,2,0.006540799885988236
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,16,8,0.0065760001540184024
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,float16,8,8,0.0035647999495267866
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,16,4,0.006540799885988236
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,float16,16,2,0.00421760007739067
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,16,2,0.006486400216817856
