framework,version,device,op_name,kernel_source,mla_dtype,kv_cache_dtype,num_heads,batch_size,isl,tp_size,step,latency
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_generation,triton,float16,float16,32,1,1,2,255,0.014828799664974213
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_generation,triton,float16,float16,16,1,1,4,255,0.016492800414562227
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_generation,triton,float16,float16,8,1,1,8,255,0.014843200147151948
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_generation,triton,float16,float16,4,1,1,16,255,0.014537599682807923
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_generation,triton,float16,float16,2,1,1,32,255,0.01451680064201355
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_generation,triton,float16,float16,1,1,1,64,255,0.020664000511169435
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_generation,triton,float16,float16,2,1,1,32,15,0.012561599910259246
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_generation,triton,float16,float16,64,1,1,1,511,0.018628799915313722
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_generation,triton,float16,float16,32,1,1,2,511,0.019390399754047393
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_generation,triton,float16,float16,16,1,1,4,511,0.01865600049495697
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_generation,triton,float16,float16,4,1,1,16,511,0.018646399676799773
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_generation,triton,float16,float16,2,1,1,32,511,0.018531200289726258
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_generation,triton,float16,float16,1,1,1,64,511,0.02269279956817627
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_generation,triton,float16,float16,64,1,1,1,1023,0.026736000180244447
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_generation,triton,float16,float16,32,1,1,2,1023,0.02672159969806671
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_generation,triton,float16,float16,16,1,1,4,1023,0.026815998554229736
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_generation,triton,float16,float16,8,1,1,8,1023,0.026723200082778932
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_generation,triton,float16,float16,4,1,1,16,1023,0.024987199902534486
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_generation,triton,float16,float16,2,1,1,32,1023,0.024828800559043886
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_generation,triton,float16,float16,1,1,1,64,1023,0.03500480055809021
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_generation,triton,float16,float16,64,1,1,1,2047,0.04113920032978058
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_generation,triton,float16,float16,32,1,1,2,2047,0.041064000129699706
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_generation,triton,float16,float16,16,1,1,4,2047,0.04105280041694641
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_generation,triton,float16,float16,8,1,1,8,2047,0.039900800585746764
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_generation,triton,float16,float16,4,1,1,16,2047,0.0399183988571167
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_generation,triton,float16,float16,2,1,1,32,2047,0.039401599764823915
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_generation,triton,float16,float16,1,1,1,64,2047,0.05744479894638062
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_generation,triton,float16,float16,64,1,1,1,4095,0.06859520077705383
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_generation,triton,float16,float16,8,1,1,8,511,0.018620799481868743
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_generation,triton,float16,float16,32,1,1,2,4095,0.0691375970840454
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_generation,triton,float16,float16,8,1,1,8,4095,0.06843839883804322
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_generation,triton,float16,float16,4,1,1,16,4095,0.06800959706306457
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_generation,triton,float16,float16,2,1,1,32,4095,0.06778879761695862
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_generation,triton,float16,float16,1,1,1,64,4095,0.10258560180664063
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_generation,triton,float16,float16,64,1,1,1,8191,0.12526079416275024
